"exon"	"raw_counts"	"median_length_normalized"	"RPKM"
"chr1:11874-12227:+"	4	0.4929178	0.322476823123937
"chr1:12595-12721:+"	2	0.3412699	0.449436202306589
"chr1:12613-12721:+"	2	0.3981481	0.523655024705842
"chr1:12646-12697:+"	2	0.372549	1.09766149409494
"chr1:13221-14409:+"	39	0.6329966	0.936104924316458
"chr1:13403-14409:+"	36	0.6192843	1.02026927355796
"chr1:14363-16765:-"	1033	0.9941715	12.2684113226808
"chr1:16854-17055:-"	249	1	35.1795074889635
"chr1:17233-18061:-"	503	0.9649758	17.3163052108246
"chr1:18268-18379:-"	132	1	33.6354843547663
"chr1:18497-18554:-"	27	1	13.2854891181836
"chr1:18913-19759:-"	277	1	9.33336255073406
"chr1:24738-24901:-"	65	0.9570552	11.3112678354905
"chr1:29321-29370:-"	8	0.5714286	4.56627181543495
"chr1:29824-29961:-"	1	0.5547445	0.206805788742525
"chr1:34612-35174:-"	1	0.1352313	0.0506912945763205
"chr1:35277-35481:-"	0	0	0
"chr1:35721-36081:-"	0	0	0
"chr1:69091-70008:+"	0	0	0
"chr1:89295-90404:-"	37	0.7321911	0.951306628215614
"chr1:137839-139228:-"	419	0.9971202	8.60282324940307
"chr1:236615-237877:-"	14	0.5380349	0.31634899750638
"chr1:321084-321114:+"	45	1	41.4278692932606
"chr1:321146-321223:+"	41	1	15.0013737526308
"chr1:322037-322228:+"	29	1	4.310608159102
"chr1:323892-324060:+"	22	1	3.71516198001364
"chr1:324288-324345:+"	3	0.7368421	1.47616545757595
"chr1:324439-328580:+"	1539	0.9951702	10.6040142502933
"chr1:367659-368595:+"	0	0	0
"chr1:420206-420296:+"	0	0	0
"chr1:420992-421258:+"	0	0	0
"chr1:421396-421839:+"	0	0	0
"chr1:566462-568045:+"	149133	1	2686.95476109241
"chr1:568149-568842:+"	24079	1	990.19505623071
"chr1:568844-568912:+"	1157	1	478.548595150202
"chr1:569327-570349:+"	97615	0.9589041	2723.21983909874
"chr1:621098-622034:-"	0	0	0
"chr1:661140-665184:-"	1518	0.9967853	10.7101369218638
"chr1:665278-665335:-"	13	1	6.39671698282913
"chr1:665563-665731:-"	19	1	3.20854898273905
"chr1:667397-667587:-"	38	1	5.67795579144398
"chr1:668402-668479:-"	47	1	17.1966967408207
"chr1:668511-668541:-"	47	1	43.2691079285166
"chr1:668687-668744:-"	13	1	6.39671698282913
"chr1:670803-670994:-"	31	0.9947644	4.60789148041938
"chr1:671808-671885:-"	41	1	15.0013737526308
"chr1:671917-671947:-"	11	1	10.1268124939081
"chr1:674240-674404:-"	38	1	6.57266397676242
"chr1:675183-675415:-"	92	1	11.2686965402365
"chr1:675509-675566:-"	7	1	3.44438606767722
"chr1:678666-678730:-"	7	1	3.07345218346583
"chr1:679575-679736:-"	14	1	2.46635051759604
"chr1:700237-700627:-"	20	0.9461538	1.45980556759429
"chr1:701709-701767:-"	2	1	0.967430469371811
"chr1:703928-703993:-"	3	0.7230769	1.29723631120311
"chr1:704877-705092:-"	13	1	1.71763696761152
"chr1:708356-708487:-"	13	1	2.8106786742734
"chr1:709551-709660:-"	14	1	3.63226167136871
"chr1:713664-714006:-"	13	0.7982456	1.08166059767956
"chr1:761587-762902:-"	29	0.7315589	0.628903318045277
"chr1:763064-763155:+"	8	1	2.4816694649103
"chr1:764383-764484:+"	8	1	2.23836853697791
"chr1:783034-783186:+"	3	0.4736842	0.559592134244479
"chr1:787307-787490:+"	16	1	2.4816694649103
"chr1:788051-788146:+"	11	1	3.27011653449117
"chr1:788771-789740:+"	91	0.9649123	2.67738875776147
"chr1:791898-794579:+"	31	0.460276	0.32987142589132
"chr1:803453-804055:-"	8	0.3056479	0.378629503767409
"chr1:809492-810535:-"	1	0.0728667	0.0273363973625176
"chr1:812126-812182:-"	0	0	0
"chr1:846815-846853:+"	0	0	0
"chr1:847325-850328:+"	8	0.1714952	0.0760031926670264
"chr1:852953-853100:-"	3	0.8639456	0.5784972739149
"chr1:853402-853555:-"	3	0.6732026	0.555958419087047
"chr1:854205-854295:-"	3	1	0.940852709224233
"chr1:854715-854817:-"	3	0.9509804	0.831238801353449
"chr1:860530-860569:+"	0	0	0
"chr1:861121-861180:+"	0	0	0
"chr1:861302-861393:+"	4	1	1.24083473245515
"chr1:865535-865716:+"	6	1	0.940852709224233
"chr1:866419-866469:+"	2	0.74	1.11918426848896
"chr1:871152-871276:+"	2	0.6129032	0.456627181543495
"chr1:874420-874509:+"	2	0.7303371	0.634204418810409
"chr1:874655-874840:+"	3	0.9081081	0.460309658814007
"chr1:876524-876686:+"	7	0.962963	1.22560976641275
"chr1:877516-877631:+"	12	1	2.9523309151519
"chr1:877790-877868:+"	10	1	3.61255681600866
"chr1:877939-878438:+"	23	0.9338678	1.31280314693755
"chr1:878633-878757:+"	2	0.6451613	0.456627181543495
"chr1:879078-879188:+"	8	0.8	2.05687919614187
"chr1:879288-879961:+"	319	1	13.5074249733285
"chr1:879584-880180:-"	446	1	21.3207415167921
"chr1:880422-880526:-"	148	1	40.2266802788317
"chr1:880898-881033:-"	174	1	36.5133867594522
"chr1:881553-881666:-"	181	1	45.3122367650069
"chr1:881782-881925:-"	179	1	35.4758096772073
"chr1:883511-883612:-"	151	1	42.2492061354581
"chr1:883870-883983:-"	155	1	38.8032966772158
"chr1:886507-886618:-"	144	1	36.6932556597451
"chr1:887380-887519:-"	158	1	32.2085244124429
