"Sample" "Chromosome" "Start" "End" "Num_Probes" "Segment_Mean"
"1" "TCGA-BL-A0C8-01A-11D-A10R-02" 14 70362113 73912204 NA -0.182879930738387
"2" "TCGA-BL-A0C8-01A-11D-A10R-02" 9 115609546 131133898 NA 0.0396751622235396
"5" "TCGA-BL-A13I-01A-11D-A13U-02" 13 19020028 49129100 NA 0.00208555197637913
"6" "TCGA-BL-A13I-01A-11D-A13U-02" 1 10208 246409808 NA -0.0142247519016688
"9" "TCGA-BL-A13J-01A-11D-A10R-02" 23 3119586 5636448 NA 0.877072555244314
"10" "TCGA-BL-A13J-01A-11D-A10R-02" 7 10127 35776912 NA 0.113873871106118
"13" "TCGA-BL-A13J-11A-13D-A10R-02" 13 27638070 28786211 NA 0.135933760992049
"14" "TCGA-BL-A13J-11A-13D-A10R-02" 13 31546838 31837888 NA 0.831083871851924
"17" "TCGA-BL-A3JM-11A-31D-A21C-26" 6 63814 171050932 NA -0.222089556733618
"18" "TCGA-BL-A3JM-11A-31D-A21C-26" 19 70880 12247668 NA 0.212002033643438
"21" "TCGA-BT-A0S7-10A-01D-A10R-02" 8 18542416 43427219 NA -0.109425720019835
"22" "TCGA-BT-A0S7-10A-01D-A10R-02" 12 129318803 129977811 NA -0.750308530005678
"25" "TCGA-BT-A0YX-10A-01D-A10R-02" 1 100222446 100622130 NA 0.260037976378174
"26" "TCGA-BT-A0YX-10A-01D-A10R-02" 16 19103580 90294729 NA -0.0243020219348178
"29" "TCGA-BT-A20N-11A-11D-A14U-02" 23 144220182 151288847 NA -0.218732574411559
"30" "TCGA-BT-A20N-11A-11D-A14U-02" 11 126948609 128472558 NA 0.147130578528114
"33" "TCGA-BT-A20O-11A-11D-A14U-02" 19 27741477 47326510 NA 0.218065351393204
"34" "TCGA-BT-A20O-11A-11D-A14U-02" 7 38394968 142360699 NA 0.00783656168862701
"37" "TCGA-BT-A20P-11A-11D-A14U-02" 19 70880 59118869 NA -0.0585214412378456
"38" "TCGA-BT-A20P-11A-11D-A14U-02" 5 141615867 162228885 NA -0.0573410519735708
"41" "TCGA-BT-A20Q-11A-11D-A14U-02" 1 65116406 105786887 NA -0.0137743863413686
"42" "TCGA-BT-A20Q-11A-11D-A14U-02" 6 63814 143557977 NA -0.0263569581064626
"45" "TCGA-BT-A20R-11A-11D-A16N-02" 4 159329222 184058329 NA -0.285766564893208
"46" "TCGA-BT-A20R-11A-11D-A16N-02" 23 2699503 154930285 NA -0.0507782046619671
"49" "TCGA-BT-A20T-11A-11D-A14U-02" 21 9411344 48119869 NA -0.00912023316078493
"50" "TCGA-BT-A20T-11A-11D-A14U-02" 2 143209111 153872733 NA -0.28106978566767
"53" "TCGA-BT-A20U-11A-11D-A14U-02" 2 10001 243189359 NA -0.0085274424194125
"54" "TCGA-BT-A20U-11A-11D-A14U-02" 5 11769 180905246 NA -0.00773472005569888
"57" "TCGA-BT-A20W-11A-11D-A14U-02" 1 187465256 201152272 NA -0.161874068627793
"58" "TCGA-BT-A20W-11A-11D-A14U-02" 22 16051206 22110145 NA 0.212805544089224
"61" "TCGA-BT-A20X-11A-12D-A16N-02" 17 1 21505693 NA -0.341408571718122
"62" "TCGA-BT-A20X-11A-12D-A16N-02" 4 68818 41597686 NA -0.129306283769583
"65" "TCGA-BT-A2LA-11A-11D-A18D-02" 20 56213353 56783730 NA 0.285173876119266
"66" "TCGA-BT-A2LA-11A-11D-A18D-02" 2 133819934 243189359 NA -0.635651500181676
"69" "TCGA-BT-A2LB-10A-01D-A18D-02" 23 58318413 62045719 NA 0.521363874910562
"70" "TCGA-BT-A2LB-10A-01D-A18D-02" 12 60730 34560974 NA 0.179375958983952
"73" "TCGA-BT-A2LD-01A-12D-A210-26" 22 40591555 51244552 NA -0.115569189056885
"74" "TCGA-BT-A2LD-01A-12D-A210-26" 8 72056431 86554763 NA -0.254362985423551
"77" "TCGA-BT-A3PH-01A-11D-A221-26" 5 49559700 180905246 NA -0.251117604050586
"78" "TCGA-BT-A3PH-01A-11D-A221-26" 12 38440830 133841505 NA 0.0199294370182946
"81" "TCGA-BT-A3PJ-01A-21D-A221-26" 7 70562186 71417321 NA 0.376852503791604
"82" "TCGA-BT-A3PJ-01A-21D-A221-26" 8 125999777 146303846 NA -0.503864205599995
"85" "TCGA-BT-A3PK-01A-21D-A221-26" 4 73332096 78163988 NA 0.941466762482077
"86" "TCGA-BT-A3PK-01A-21D-A221-26" 10 61818 78260947 NA 0.0574869749635298
"89" "TCGA-C4-A0F0-01A-12D-A10R-02" 12 38009613 82438515 NA -0.368132483970951
"90" "TCGA-C4-A0F0-01A-12D-A10R-02" 16 32562492 33969362 NA -0.303646313844007
"93" "TCGA-C4-A0F6-01A-11D-A10R-02" 6 63814 2319181 NA -0.121211466525656
"94" "TCGA-C4-A0F6-01A-11D-A10R-02" 23 80225640 82442603 NA 0.150857739370916
"97" "TCGA-CF-A1HR-01A-11D-A13U-02" 7 856949 17999178 NA 0.0848758525580564
"98" "TCGA-CF-A1HR-01A-11D-A13U-02" 4 121888639 123874924 NA -0.424295799956765
"101" "TCGA-CF-A1HS-01A-11D-A13U-02" 21 9422166 10021274 NA 0.832013365283215
"102" "TCGA-CF-A1HS-01A-11D-A13U-02" 10 100081385 135524732 NA -0.080306080581503
"105" "TCGA-CF-A27C-01A-11D-A16N-02" 24 2649474 28783838 NA 0.100350641151954
"106" "TCGA-CF-A27C-01A-11D-A16N-02" 13 72125634 115109864 NA 0.0476642681135593
"109" "TCGA-CF-A3MF-01A-12D-A21C-26" 13 19020028 115109864 NA -0.0962439892452074
"110" "TCGA-CF-A3MF-01A-12D-A21C-26" 14 19141347 107289526 NA -0.126569530580431
"113" "TCGA-CF-A3MG-01A-11D-A210-26" 9 1461804 2510267 NA -0.311690759521937
"114" "TCGA-CF-A3MG-01A-11D-A210-26" 9 80421293 141153413 NA -0.585006712032954
"117" "TCGA-CF-A3MH-01A-11D-A210-26" 1 10208 249240606 NA 0.0143519914953139
"118" "TCGA-CF-A3MH-01A-11D-A210-26" 16 60001 90294729 NA 0.00941993371591381
"121" "TCGA-CF-A3MI-01A-11D-A210-26" 12 42897585 43131785 NA 1.42565689631929
"122" "TCGA-CF-A3MI-01A-11D-A210-26" 8 20441971 21087370 NA 0.0549983590579611
"125" "TCGA-CU-A0YN-01A-21D-A10R-02" 8 23379 39801453 NA -0.310204325025844
"126" "TCGA-CU-A0YN-01A-21D-A10R-02" 15 74139211 74241947 NA 0.642523331815196
"129" "TCGA-CU-A0YO-01A-11D-A10R-02" 20 60001 62965506 NA 0.198193566579685
"130" "TCGA-CU-A0YO-01A-11D-A10R-02" 12 169006 2861395 NA 0.207262247259086
"133" "TCGA-CU-A0YR-01A-12D-A10R-02" 7 79955020 104117560 NA -0.377495201658043
"134" "TCGA-CU-A0YR-01A-12D-A10R-02" 11 48389139 50402704 NA 0.334858333412045
"137" "TCGA-CU-A0YR-11A-13D-A10R-02" 8 23379 17786984 NA -0.755070670539717
"138" "TCGA-CU-A0YR-11A-13D-A10R-02" 8 123319655 125120728 NA 1.3772493355834
"141" "TCGA-CU-A3KJ-10A-01D-A21C-26" 16 31390499 32511983 NA -0.521629286457645
"142" "TCGA-CU-A3KJ-10A-01D-A21C-26" 16 16731215 18769004 NA -1.2494171348026
"145" "TCGA-CU-A3QU-10B-01D-A233-26" 2 208994397 243189359 NA -1.52996811774475
"146" "TCGA-CU-A3QU-10B-01D-A233-26" 1 10208 49541384 NA 0.460765725702518
"149" "TCGA-CU-A3YL-10A-01D-A233-26" 2 239629318 243189359 NA -0.701322622714515
"150" "TCGA-CU-A3YL-10A-01D-A233-26" 3 71088642 71453135 NA -1.86922073857518
"153" "TCGA-DK-A1A3-10A-01D-A13U-02" 6 16613611 19925191 NA -0.363448575873029
"154" "TCGA-DK-A1A3-10A-01D-A13U-02" 19 28118887 28731289 NA 0.376931649965926
"157" "TCGA-DK-A1A5-10A-01D-A13U-02" 3 71815322 130634593 NA -0.031816052401891
"158" "TCGA-DK-A1A5-10A-01D-A13U-02" 2 72065672 72886364 NA -0.310663081153216
"161" "TCGA-DK-A1A6-10A-01D-A13U-02" 17 28962289 32213654 NA 0.62211927661298
"162" "TCGA-DK-A1A6-10A-01D-A13U-02" 5 14580750 15469477 NA -1.24169638329031
"165" "TCGA-DK-A1A7-10A-01D-A13U-02" 18 66468600 78017233 NA -0.535997156763619
"166" "TCGA-DK-A1A7-10A-01D-A13U-02" 9 10001 23301195 NA -0.125621658141106
"169" "TCGA-DK-A1AA-10A-01D-A13U-02" 7 105930243 159128640 NA -0.00385890425740978
"170" "TCGA-DK-A1AA-10A-01D-A13U-02" 6 475695 93983427 NA -0.00845643217356545
"173" "TCGA-DK-A1AB-10A-01D-A13U-02" 6 63814 171050932 NA -0.373717242247084
"174" "TCGA-DK-A1AB-10A-01D-A13U-02" 21 9422166 48119869 NA 0.0682825854749836
"177" "TCGA-DK-A1AC-10A-01D-A13U-02" 16 57189726 79008568 NA -0.525391161119694
"178" "TCGA-DK-A1AC-10A-01D-A13U-02" 1 10208 15244115 NA 0.520556297903463
"181" "TCGA-DK-A1AD-10A-01D-A13U-02" 1 159676413 161070225 NA 1.86289656474361
"182" "TCGA-DK-A1AD-10A-01D-A13U-02" 13 19020028 20299513 NA 0.127958459808601
"185" "TCGA-DK-A1AE-10A-01D-A13U-02" 16 63147135 63177728 NA -1.63212120821474
"186" "TCGA-DK-A1AE-10A-01D-A13U-02" 10 117242386 135524732 NA 0.0308715661449148
"189" "TCGA-DK-A1AG-10A-01D-A13U-02" 20 60001 4556887 NA -0.00203031673746495
"190" "TCGA-DK-A1AG-10A-01D-A13U-02" 15 20000001 102521366 NA 0.0182477385688014
"193" "TCGA-DK-A2HX-10A-01D-A18D-02" 7 8883170 9814709 NA 0.0273305076343656
"194" "TCGA-DK-A2HX-10A-01D-A18D-02" 6 66048503 66741301 NA 0.0979709656531481
"197" "TCGA-DK-A2I1-10A-01D-A17R-02" 4 175233634 178082237 NA -0.0101897136371403
"198" "TCGA-DK-A2I1-10A-01D-A17R-02" 1 104056927 104090604 NA 0.77892793161476
"201" "TCGA-DK-A2I2-10A-01D-A17R-02" 18 10064 18510945 NA 0.036105889090774
"202" "TCGA-DK-A2I2-10A-01D-A17R-02" 4 71725144 74690959 NA 0.161070154821952
"205" "TCGA-DK-A2I6-10A-01D-A18D-02" 12 64764820 66505825 NA -0.290763281991839
"206" "TCGA-DK-A2I6-10A-01D-A18D-02" 1 235594502 249240606 NA -0.18624845048347
"209" "TCGA-DK-A3IK-10A-01D-A21C-26" 20 39116327 40164928 NA 0.524610262981439
"210" "TCGA-DK-A3IK-10A-01D-A21C-26" 16 5352600 7575607 NA -0.004329967791247
"213" "TCGA-DK-A3IL-10A-01D-A210-26" 11 87224559 99891593 NA 0.595682235146572
"214" "TCGA-DK-A3IL-10A-01D-A210-26" 16 35155273 46459008 NA 1.75030804297734
"217" "TCGA-DK-A3IN-10A-01D-A210-26" 3 31451568 37904707 NA 0.122265816847628
"218" "TCGA-DK-A3IN-10A-01D-A210-26" 4 115198041 191014415 NA -0.197608781117688
"221" "TCGA-DK-A3IQ-10A-01D-A210-26" 20 60001 18388033 NA 0.115949737357392
"222" "TCGA-DK-A3IQ-10A-01D-A210-26" 9 3251728 4485530 NA -0.250696214306595
"225" "TCGA-DK-A3IT-10A-01D-A210-26" 12 26283974 26505903 NA 0.73808981078023
"226" "TCGA-DK-A3IT-10A-01D-A210-26" 1 10208 4234646 NA -0.116563794362821
"229" "TCGA-DK-A3IU-10A-01D-A210-26" 12 37991253 38053526 NA 1.87478993183408
"230" "TCGA-DK-A3IU-10A-01D-A210-26" 17 25301752 81195162 NA -0.137542875623982
"233" "TCGA-DK-A3IV-10A-01D-A21C-26" 8 65187706 65225497 NA 1.28329726536649
"234" "TCGA-DK-A3IV-10A-01D-A21C-26" 22 17156707 48633608 NA -0.494888197759455
"237" "TCGA-DK-A3WX-10A-01D-A233-26" 15 20000001 102521366 NA 0.079847704874919
"238" "TCGA-DK-A3WX-10A-01D-A233-26" 6 63814 171050932 NA 0.0487661224113239
"241" "TCGA-DK-A3WY-10A-01D-A233-26" 14 106177004 107289526 NA -0.280540869169745
"242" "TCGA-DK-A3WY-10A-01D-A233-26" 11 195901 134946455 NA -0.00181591314713781
"245" "TCGA-DK-A3X1-10A-01D-A233-26" 3 10988589 11874432 NA 0.741599099191288
"246" "TCGA-DK-A3X1-10A-01D-A233-26" 19 13471712 24513884 NA -0.103991232721606
"249" "TCGA-DK-A3X2-10A-01D-A233-26" 4 58691318 59886313 NA -0.769692286553588
"250" "TCGA-DK-A3X2-10A-01D-A233-26" 14 42263552 86829169 NA 0.232667267761356
"253" "TCGA-E5-A2PC-10B-01D-A204-02" 10 61818 5025173 NA -0.130858593157441
"254" "TCGA-E5-A2PC-10B-01D-A204-02" 4 145764691 151076668 NA -0.637674731273411
"257" "TCGA-E7-A3X6-10A-01D-A233-26" 23 45054413 102902405 NA 0.113174219539276
"258" "TCGA-E7-A3X6-10A-01D-A233-26" 9 10001 21965768 NA -0.526924136501349
"261" "TCGA-E7-A3Y1-10A-01D-A233-26" 6 63814 171050932 NA -0.0392434632506376
"262" "TCGA-E7-A3Y1-10A-01D-A233-26" 1 142825886 249240606 NA 0.47588858781785
"265" "TCGA-FD-A3B3-10A-01D-A204-02" 17 57789929 81195162 NA -0.0358779386299791
"266" "TCGA-FD-A3B3-10A-01D-A204-02" 2 78689086 87740684 NA -0.225400054573825
"269" "TCGA-FD-A3B4-10A-01D-A204-02" 7 41117608 90058582 NA -0.0454754926077756
"270" "TCGA-FD-A3B4-10A-01D-A204-02" 20 60001 62965506 NA -0.0293578026480229
"273" "TCGA-FD-A3B5-10A-01D-A210-26" 23 7785329 154930285 NA 0.31861949381711
"274" "TCGA-FD-A3B5-10A-01D-A210-26" 1 144531908 249240606 NA 0.195129750882562
"277" "TCGA-FD-A3B6-10A-01D-A210-26" 24 2649474 28783838 NA -0.0816521284861819
"278" "TCGA-FD-A3B6-10A-01D-A210-26" 10 65768355 67062950 NA 0.708790577327999
